"(GMT Time Adj: WA +8, NT +9.5, Other +10) Date Exported:",3/6/2024 17:11,,,,,,3/6/2024 17:11,,,,,
NMI:,SUB0002148-1,,,,,,SUB0002148-1,,,,,
Site Name:,SUB0002148_SOLAR,,,,,,SUB0002148_SOLAR IMP,,,,,
Meter Type:,connected electricity,,,,,,connected electricity,,,,,
Schedule Time(Minutes):,30,,,,,,30,,,,,
Site Address:,17 JURY ROAD,,,,,,17 JURY ROAD,,,,,
State:,SA,,,,,,SA,,,,,
Distributor:,ETSA,,,,,,ETSA,,,,,
From:,1/5/2024 0:30,,,,,,1/5/2024 0:30,,,,,
To:,1/6/2024 0:00,,,,,,1/6/2024 0:00,,,,,
Data missing%:,0.00%,,,,,,0.00%,,,,,
Data Substitution%:,0.00%,,,,,,0.00%,,,,,
Total Consumption:,51.1,,,,,,127784.5,,,,,
Max Demand:,3,,,,,,910,,,,,
Max Demand Date:,19/05/2024 13:00:00,,,,,,1/5/2024 12:30,,,,,
Date,Consumption(kwh),kW Demand,kVA Demand,PF,kVARh,Status,Consumption(kwh),kW Demand,kVA Demand,PF,kVARh,Status
1/5/2024 0:30,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
1/5/2024 1:00,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
1/5/2024 1:30,0,0,0,0,0,Finalised,0,0,2.8,0,1.4,Finalised
1/5/2024 2:00,0,0,0,0,0,Finalised,0,0,1.6,0,0.8,Finalised
1/5/2024 2:30,0,0,0,0,0,Finalised,0,0,1.4,0,0.7,Finalised
1/5/2024 3:00,0,0,0,0,0,Finalised,0,0,3.6,0,1.8,Finalised
1/5/2024 3:30,0,0,0,0,0,Finalised,0,0,1,0,0.5,Finalised
1/5/2024 4:00,0,0,0,0,0,Finalised,0.1,0.2,4.8042,0.0416,2.4,Finalised
1/5/2024 4:30,0,0,0,0,0,Finalised,0,0,0.6,0,0.3,Finalised
1/5/2024 5:00,0,0,0,0,0,Finalised,0,0,0.4,0,0.2,Finalised
1/5/2024 5:30,0,0,0,0,0,Finalised,0,0,0.6,0,0.3,Finalised
1/5/2024 6:00,0,0,0,0,0,Finalised,0,0,0.8,0,0.4,Finalised
1/5/2024 6:30,0,0,0,0,0,Finalised,0,0,0.4,0,0.2,Finalised
1/5/2024 7:00,0,0,0,0,0,Finalised,0,0,0.8,0,0.4,Finalised
1/5/2024 7:30,0.1,0.2,0.4472,0.4472,0.2,Finalised,2.1,4.2,23.7739,0.1767,11.7,Finalised
1/5/2024 8:00,0.1,0.2,0.2,1,0,Finalised,36.8,73.6,76.4827,0.9623,10.4,Finalised
1/5/2024 8:30,0,0,3.2,0,1.6,Finalised,131.3,262.6,263.2299,0.9976,9.1,Finalised
1/5/2024 9:00,0,0,9.4,0,4.7,Finalised,202.7,405.4,405.975,0.9986,10.8,Finalised
1/5/2024 9:30,0.1,0.2,11.0018,0.0182,5.5,Finalised,264.7,529.4,530.0678,0.9987,13.3,Finalised
1/5/2024 10:00,0,0,11,0,5.5,Finalised,318.9,637.8,638.432,0.999,14.2,Finalised
1/5/2024 10:30,0,0,11.6,0,5.8,Finalised,366.1,732.2,732.6064,0.9994,12.2,Finalised
1/5/2024 11:00,0,0,12,0,6,Finalised,402.8,805.6,805.8949,0.9996,10.9,Finalised
1/5/2024 11:30,0,0,12,0,6,Finalised,430.3,860.6,860.8915,0.9997,11.2,Finalised
1/5/2024 12:00,0,0,13.6,0,6.8,Finalised,447.7,895.4,895.6605,0.9997,10.8,Finalised
1/5/2024 12:30,0,0,13,0,6.5,Finalised,455,910,910.2111,0.9998,9.8,Finalised
1/5/2024 13:00,0.1,0.2,11.2018,0.0179,5.6,Finalised,408.6,817.2,817.4802,0.9997,10.7,Finalised
1/5/2024 13:30,0.1,0.2,0.2,1,0,Finalised,58.2,116.4,118.1057,0.9856,10,Finalised
1/5/2024 14:00,0.1,0.2,0.2,1,0,Finalised,56.7,113.4,115.0814,0.9854,9.8,Finalised
1/5/2024 14:30,0.2,0.4,0.4,1,0,Finalised,54.2,108.4,110.6099,0.98,11,Finalised
1/5/2024 15:00,0.1,0.2,0.2,1,0,Finalised,50.8,101.6,103.3247,0.9833,9.4,Finalised
1/5/2024 15:30,0.1,0.2,0.2,1,0,Finalised,46.3,92.6,94.7776,0.977,10.1,Finalised
1/5/2024 16:00,0.1,0.2,0.2828,0.7071,0.1,Finalised,41.2,82.4,84.4294,0.976,9.2,Finalised
1/5/2024 16:30,0.1,0.2,2.2091,0.0905,1.1,Finalised,78.2,156.4,158.0532,0.9895,11.4,Finalised
1/5/2024 17:00,0,0,5,0,2.5,Finalised,151.2,302.4,302.9838,0.9981,9.4,Finalised
1/5/2024 17:30,0.1,0.2,0.2828,0.7071,0.1,Finalised,68.2,136.4,138.9313,0.9818,13.2,Finalised
1/5/2024 18:00,0,0,0.8,0,0.4,Finalised,8.8,17.6,32.5656,0.5404,13.7,Finalised
1/5/2024 18:30,0.6,1.2,3.7947,0.3162,1.8,Finalised,0,0,17.2,0,8.6,Finalised
1/5/2024 19:00,0,0,0,0,0,Finalised,0,0,0.6,0,0.3,Finalised
1/5/2024 19:30,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
1/5/2024 20:00,0,0,0,0,0,Finalised,0,0,1,0,0.5,Finalised
1/5/2024 20:30,0,0,0,0,0,Finalised,0,0,1.4,0,0.7,Finalised
1/5/2024 21:00,0,0,0,0,0,Finalised,0,0,2.8,0,1.4,Finalised
1/5/2024 21:30,0,0,0,0,0,Finalised,0,0,2.6,0,1.3,Finalised
1/5/2024 22:00,0,0,0,0,0,Finalised,0,0,2.4,0,1.2,Finalised
1/5/2024 22:30,0,0,0,0,0,Finalised,0,0,2,0,1,Finalised
1/5/2024 23:00,0,0,0,0,0,Finalised,0,0,0.8,0,0.4,Finalised
1/5/2024 23:30,0,0,0,0,0,Finalised,0,0,1.2,0,0.6,Finalised
2/5/2024 0:00,0,0,0,0,0,Finalised,0,0,2.8,0,1.4,Finalised
2/5/2024 0:30,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
2/5/2024 1:00,0,0,0,0,0,Finalised,0,0,3,0,1.5,Finalised
2/5/2024 1:30,0,0,0,0,0,Finalised,0,0,2,0,1,Finalised
2/5/2024 2:00,0,0,0,0,0,Finalised,0,0,1.6,0,0.8,Finalised
2/5/2024 2:30,0,0,0,0,0,Finalised,0,0,1.2,0,0.6,Finalised
2/5/2024 3:00,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
2/5/2024 3:30,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
2/5/2024 4:00,0,0,0,0,0,Finalised,0,0,2.2,0,1.1,Finalised
2/5/2024 4:30,0,0,0,0,0,Finalised,0,0,1.4,0,0.7,Finalised
2/5/2024 5:00,0,0,0,0,0,Finalised,0,0,1,0,0.5,Finalised
2/5/2024 5:30,0,0,0,0,0,Finalised,0,0,1.8,0,0.9,Finalised
2/5/2024 6:00,0,0,0,0,0,Finalised,0,0,1.6,0,0.8,Finalised
2/5/2024 6:30,0,0,0,0,0,Finalised,0,0,3,0,1.5,Finalised
2/5/2024 7:00,0,0,0,0,0,Finalised,0,0,1.2,0,0.6,Finalised
2/5/2024 7:30,0.1,0.2,0.6325,0.3162,0.3,Finalised,1.7,3.4,20.8787,0.1628,10.3,Finalised
2/5/2024 8:00,0.1,0.2,0.2,1,0,Finalised,29.8,59.6,63.9562,0.9319,11.6,Finalised
2/5/2024 8:30,0,0,2,0,1,Finalised,117.5,235,235.9906,0.9958,10.8,Finalised
