序号,日期时间,电价_$/MWh,数据来源
1,2024-01-01 00:00:00,54.02,来自2023年12月文件
2,2024-01-01 00:05:00,54.42,来自2024年1月文件
3,2024-01-01 00:10:00,68.2,来自2024年1月文件
4,2024-01-01 00:15:00,56.17,来自2024年1月文件
5,2024-01-01 00:20:00,52.29,来自2024年1月文件
6,2024-01-01 00:25:00,51.94,来自2024年1月文件
7,2024-01-01 00:30:00,55.11,来自2024年1月文件
8,2024-01-01 00:35:00,54.38,来自2024年1月文件
9,2024-01-01 00:40:00,52.21,来自2024年1月文件
10,2024-01-01 00:45:00,52.43,来自2024年1月文件
11,2024-01-01 00:50:00,52.39,来自2024年1月文件
12,2024-01-01 00:55:00,52.15,来自2024年1月文件
13,2024-01-02 00:00:00,59.76,来自2024年1月文件
14,2024-01-02 00:05:00,49.6,来自2024年1月文件
15,2024-01-02 00:10:00,54.15,来自2024年1月文件
16,2024-01-02 00:15:00,54.46,来自2024年1月文件
17,2024-01-02 00:20:00,54.16,来自2024年1月文件
18,2024-01-02 00:25:00,54.59,来自2024年1月文件
19,2024-01-02 00:30:00,50.37,来自2024年1月文件
20,2024-01-02 00:35:00,57.01,来自2024年1月文件
21,2024-01-02 00:40:00,57.29,来自2024年1月文件
22,2024-01-02 00:45:00,57.58,来自2024年1月文件
23,2024-01-02 00:50:00,58.63,来自2024年1月文件
24,2024-01-02 00:55:00,54.9,来自2024年1月文件
25,2024-01-03 00:00:00,98.71,来自2024年1月文件
26,2024-01-03 00:05:00,97.55,来自2024年1月文件
27,2024-01-03 00:10:00,114.13,来自2024年1月文件
28,2024-01-03 00:15:00,100.9,来自2024年1月文件
29,2024-01-03 00:20:00,125.68,来自2024年1月文件
30,2024-01-03 00:25:00,99.01,来自2024年1月文件
31,2024-01-03 00:30:00,87.36,来自2024年1月文件
32,2024-01-03 00:35:00,87.14,来自2024年1月文件
33,2024-01-03 00:40:00,88.23,来自2024年1月文件
34,2024-01-03 00:45:00,87.5,来自2024年1月文件
35,2024-01-03 00:50:00,87.56,来自2024年1月文件
36,2024-01-03 00:55:00,85.98,来自2024年1月文件
37,2024-01-04 00:00:00,61.77,来自2024年1月文件
38,2024-01-04 00:05:00,61.03,来自2024年1月文件
39,2024-01-04 00:10:00,49.5,来自2024年1月文件
40,2024-01-04 00:15:00,52.67,来自2024年1月文件
41,2024-01-04 00:20:00,46.68,来自2024年1月文件
42,2024-01-04 00:25:00,48.9,来自2024年1月文件
43,2024-01-04 00:30:00,50.69,来自2024年1月文件
44,2024-01-04 00:35:00,44.59,来自2024年1月文件
45,2024-01-04 00:40:00,48.8,来自2024年1月文件
46,2024-01-04 00:45:00,48.8,来自2024年1月文件
47,2024-01-04 00:50:00,45.42,来自2024年1月文件
48,2024-01-04 00:55:00,48.94,来自2024年1月文件
49,2024-01-05 00:00:00,61.91,来自2024年1月文件
50,2024-01-05 00:05:00,68.25,来自2024年1月文件
51,2024-01-05 00:10:00,68.94,来自2024年1月文件
52,2024-01-05 00:15:00,69.29,来自2024年1月文件
53,2024-01-05 00:20:00,69.16,来自2024年1月文件
54,2024-01-05 00:25:00,59.5,来自2024年1月文件
55,2024-01-05 00:30:00,59.9,来自2024年1月文件
56,2024-01-05 00:35:00,58.16,来自2024年1月文件
