序号,日期时间,电价_$/MWh,日期,时间
1,2024-01-01 01:00:00,47.59,2024-01-01,01:00:00
2,2024-01-01 01:05:00,39.08,2024-01-01,01:05:00
3,2024-01-01 01:10:00,48.23,2024-01-01,01:10:00
4,2024-01-01 01:15:00,45.91,2024-01-01,01:15:00
5,2024-01-01 01:20:00,46.51,2024-01-01,01:20:00
6,2024-01-01 01:25:00,46.14,2024-01-01,01:25:00
7,2024-01-01 01:30:00,48.37,2024-01-01,01:30:00
8,2024-01-01 01:35:00,52.86,2024-01-01,01:35:00
9,2024-01-01 01:40:00,48.07,2024-01-01,01:40:00
10,2024-01-01 01:45:00,38.42,2024-01-01,01:45:00
11,2024-01-01 01:50:00,38.92,2024-01-01,01:50:00
12,2024-01-01 01:55:00,34.4,2024-01-01,01:55:00
13,2024-01-02 01:00:00,55.33,2024-01-02,01:00:00
14,2024-01-02 01:05:00,55.67,2024-01-02,01:05:00
15,2024-01-02 01:10:00,55.19,2024-01-02,01:10:00
16,2024-01-02 01:15:00,53.68,2024-01-02,01:15:00
17,2024-01-02 01:20:00,53.17,2024-01-02,01:20:00
18,2024-01-02 01:25:00,49.61,2024-01-02,01:25:00
19,2024-01-02 01:30:00,49.59,2024-01-02,01:30:00
20,2024-01-02 01:35:00,52.19,2024-01-02,01:35:00
21,2024-01-02 01:40:00,51.51,2024-01-02,01:40:00
22,2024-01-02 01:45:00,51.51,2024-01-02,01:45:00
23,2024-01-02 01:50:00,51.52,2024-01-02,01:50:00
24,2024-01-02 01:55:00,50.16,2024-01-02,01:55:00
25,2024-01-03 01:00:00,85.35,2024-01-03,01:00:00
26,2024-01-03 01:05:00,85.63,2024-01-03,01:05:00
27,2024-01-03 01:10:00,98.95,2024-01-03,01:10:00
28,2024-01-03 01:15:00,82.31,2024-01-03,01:15:00
29,2024-01-03 01:20:00,70.36,2024-01-03,01:20:00
30,2024-01-03 01:25:00,69.16,2024-01-03,01:25:00
31,2024-01-03 01:30:00,67.95,2024-01-03,01:30:00
32,2024-01-03 01:35:00,67.96,2024-01-03,01:35:00
33,2024-01-03 01:40:00,67.28,2024-01-03,01:40:00
34,2024-01-03 01:45:00,66.61,2024-01-03,01:45:00
35,2024-01-03 01:50:00,63.11,2024-01-03,01:50:00
36,2024-01-03 01:55:00,54.96,2024-01-03,01:55:00
37,2024-01-04 01:00:00,46.02,2024-01-04,01:00:00
38,2024-01-04 01:05:00,47.24,2024-01-04,01:05:00
39,2024-01-04 01:10:00,52.59,2024-01-04,01:10:00
40,2024-01-04 01:15:00,53.57,2024-01-04,01:15:00
41,2024-01-04 01:20:00,52.93,2024-01-04,01:20:00
42,2024-01-04 01:25:00,49.33,2024-01-04,01:25:00
43,2024-01-04 01:30:00,48.66,2024-01-04,01:30:00
44,2024-01-04 01:35:00,50.07,2024-01-04,01:35:00
45,2024-01-04 01:40:00,50.5,2024-01-04,01:40:00
46,2024-01-04 01:45:00,50.27,2024-01-04,01:45:00
47,2024-01-04 01:50:00,47.29,2024-01-04,01:50:00
48,2024-01-04 01:55:00,46.03,2024-01-04,01:55:00
49,2024-01-05 01:00:00,58.71,2024-01-05,01:00:00
50,2024-01-05 01:05:00,61.79,2024-01-05,01:05:00
51,2024-01-05 01:10:00,60.18,2024-01-05,01:10:00
52,2024-01-05 01:15:00,59.38,2024-01-05,01:15:00
53,2024-01-05 01:20:00,57.99,2024-01-05,01:20:00
54,2024-01-05 01:25:00,56.78,2024-01-05,01:25:00
55,2024-01-05 01:30:00,55.71,2024-01-05,01:30:00
56,2024-01-05 01:35:00,59.29,2024-01-05,01:35:00
57,2024-01-05 01:40:00,57.61,2024-01-05,01:40:00
58,2024-01-05 01:45:00,57.31,2024-01-05,01:45:00
59,2024-01-05 01:50:00,53.85,2024-01-05,01:50:00
60,2024-01-05 01:55:00,53.42,2024-01-05,01:55:00
61,2024-01-06 01:00:00,55.26,2024-01-06,01:00:00
62,2024-01-06 01:05:00,54.06,2024-01-06,01:05:00
63,2024-01-06 01:10:00,53.98,2024-01-06,01:10:00
64,2024-01-06 01:15:00,46.82,2024-01-06,01:15:00
65,2024-01-06 01:20:00,40.07,2024-01-06,01:20:00
66,2024-01-06 01:25:00,36.95,2024-01-06,01:25:00
67,2024-01-06 01:30:00,36.96,2024-01-06,01:30:00
68,2024-01-06 01:35:00,36.68,2024-01-06,01:35:00
69,2024-01-06 01:40:00,36.96,2024-01-06,01:40:00
70,2024-01-06 01:45:00,35.42,2024-01-06,01:45:00
71,2024-01-06 01:50:00,35.23,2024-01-06,01:50:00
72,2024-01-06 01:55:00,35.23,2024-01-06,01:55:00
73,2024-01-07 01:00:00,90.26,2024-01-07,01:00:00
74,2024-01-07 01:05:00,115.61,2024-01-07,01:05:00
75,2024-01-07 01:10:00,298.44,2024-01-07,01:10:00
76,2024-01-07 01:15:00,349.98,2024-01-07,01:15:00
77,2024-01-07 01:20:00,73.93,2024-01-07,01:20:00
78,2024-01-07 01:25:00,75.96,2024-01-07,01:25:00
79,2024-01-07 01:30:00,72.82,2024-01-07,01:30:00
80,2024-01-07 01:35:00,75.69,2024-01-07,01:35:00
81,2024-01-07 01:40:00,75.69,2024-01-07,01:40:00
82,2024-01-07 01:45:00,72.44,2024-01-07,01:45:00
83,2024-01-07 01:50:00,73.7,2024-01-07,01:50:00
84,2024-01-07 01:55:00,64.55,2024-01-07,01:55:00
85,2024-01-08 01:00:00,95.98,2024-01-08,01:00:00
86,2024-01-08 01:05:00,112.06,2024-01-08,01:05:00
87,2024-01-08 01:10:00,97.38,2024-01-08,01:10:00
88,2024-01-08 01:15:00,96.38,2024-01-08,01:15:00
89,2024-01-08 01:20:00,96.61,2024-01-08,01:20:00
90,2024-01-08 01:25:00,91.45,2024-01-08,01:25:00
