Z值,总收益
0.0,3226147.0072
2.0,3224229.7293999996
4.0,3221348.5117
6.0,3221016.8815
8.0,3219889.6855
10.0,3215209.9675
12.0,3209264.6564999996
14.0,3209264.6565
16.0,3209264.6565
18.0,3207770.2183
20.0,3206663.6676999996
22.0,3204217.2817999995
24.0,3201526.4796
26.0,3200078.2494
28.0,3196909.1859999998
30.0,3195792.5859999997
32.0,3195792.5859999997
34.0,3191590.2238
36.0,3186198.3923
38.0,3169707.9604999996
40.0,3160879.9979999997
42.0,3154471.3284
44.0,3141395.1166999997
46.0,3127826.5560999997
48.0,3098358.4868999994
50.0,3089420.3073
