时间,电价(RRP),阶段,z值,电量(kWh),累计电量(kWh),成本/收益,周期总收益
2025-10-01 00:05:00,0.01,charge,0.0,55.83,55.83,-0.0005583000000000001,543.7841999999997
2025-10-01 00:10:00,8.08,charge,0.0,55.83,111.66,-0.4511064,543.7841999999997
2025-10-01 00:15:00,8.25,charge,0.0,55.83,167.49,-0.4605975,543.7841999999997
2025-10-01 00:20:00,8.34,charge,0.0,55.83,223.32,-0.4656222,543.7841999999997
2025-10-01 00:25:00,8.38,charge,0.0,0.0,223.32,-0.0,543.7841999999997
2025-10-01 00:30:00,8.43,charge,0.0,0.0,223.32,-0.0,543.7841999999997
2025-10-01 00:35:00,8.36,charge,0.0,0.0,223.32,-0.0,543.7841999999997
2025-10-01 00:40:00,8.4,charge,0.0,0.0,223.32,-0.0,543.7841999999997
2025-10-01 00:45:00,8.36,charge,0.0,0.0,223.32,-0.0,543.7841999999997
2025-10-01 00:50:00,8.31,charge,0.0,55.83,279.15,-0.46394730000000006,543.7841999999997
2025-10-01 00:55:00,7.43,charge,0.0,55.83,334.97999999999996,-0.4148169,543.7841999999997
2025-10-01 01:00:00,8.36,discharge,0.0,-167.49,167.48999999999995,1.4002164,543.7841999999997
2025-10-01 01:05:00,8.36,discharge,0.0,-167.49,0.0,1.4002164,543.7841999999997
2025-10-01 01:10:00,7.39,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:15:00,0.01,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:20:00,7.32,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:25:00,0.0,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:30:00,0.01,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:35:00,0.01,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:40:00,0.01,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:45:00,0.0,discharge,0.0,-0.0,0.0,0.0,543.7841999999997
2025-10-01 01:50:00,-0.05,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 01:55:00,-5.42,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:00:00,-5.47,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:05:00,-5.56,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:10:00,-5.58,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:15:00,-5.54,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:20:00,-9.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:25:00,-9.04,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:30:00,-8.9,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:35:00,-8.85,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:40:00,-8.85,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:45:00,-8.91,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:50:00,-8.91,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 02:55:00,-8.91,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:00:00,-8.81,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:05:00,-8.77,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:10:00,-8.87,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:15:00,-8.73,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:20:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:25:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:30:00,-8.66,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:35:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:40:00,-8.83,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:45:00,-8.74,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:50:00,-8.7,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 03:55:00,-8.71,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:00:00,-8.66,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:05:00,-8.87,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:10:00,-8.69,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:15:00,-8.7,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:20:00,-8.69,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:25:00,-8.78,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:30:00,-8.81,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:35:00,-8.77,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:40:00,-8.81,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:45:00,-8.86,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:50:00,-8.91,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 04:55:00,-8.85,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:00:00,-8.82,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:05:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:10:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:15:00,-8.72,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:20:00,-8.76,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:25:00,-8.7,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:30:00,-8.75,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:35:00,-8.84,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:40:00,-8.88,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:45:00,-8.93,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:50:00,-8.87,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 05:55:00,-8.87,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:00:00,-8.96,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:05:00,-8.87,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:10:00,-8.9,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:15:00,-8.77,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:20:00,-8.99,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:25:00,-9.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:30:00,-8.94,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:35:00,-8.99,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:40:00,-9.03,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:45:00,-11.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:50:00,-11.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 06:55:00,-11.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:00:00,-11.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:05:00,-11.0,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:10:00,-11.79,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:15:00,-11.79,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:20:00,-11.79,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
2025-10-01 07:25:00,-11.86,discharge,0.0,-0.0,0.0,-0.0,543.7841999999997
