TRADING_HOUR,数据点数,平均电价,标准差,最低电价,最高电价
0,7200,101.33,99.14,-92.97,3411.15
1,7200,92.36,78.37,-99.21,800.0
2,7200,84.31,74.13,-100.0,800.0
3,7200,82.38,89.31,-50.91,3896.0
4,7200,87.26,139.99,-55.31,10086.78
5,7200,95.79,77.21,-96.36,392.0
6,7200,104.39,101.95,-207.22,3411.15
7,7200,116.27,508.85,-301.15,15599.6
8,7200,106.0,721.61,-265.59,17206.68
9,7200,46.02,405.51,-1000.0,17499.98
10,7200,29.29,420.66,-1000.0,17500.0
11,7200,18.54,456.79,-982.89,16600.0
12,7200,-2.06,101.35,-974.44,1000.0
13,7200,-2.57,106.5,-978.39,1000.0
14,7200,18.64,419.82,-988.89,17500.0
15,7200,33.04,285.48,-972.53,17500.0
16,7200,77.57,244.97,-989.42,9899.5
17,7200,173.26,653.76,-1000.0,11157.06
18,7200,303.97,1318.27,-358.91,17500.0
19,7200,261.99,1161.7,-99.28,17500.0
20,7200,223.08,1061.72,-99.21,17500.0
21,7200,142.8,520.4,-155.88,14514.7
22,7200,125.0,495.7,-155.84,17500.0
23,7200,107.8,219.31,-339.99,14514.7
