周期类型,周期,开始时间,结束时间,包含天数,最优Z值,最大收益,计算时间
季度,2024Q1,2023-12-31 23:00,2024-03-31 08:00,91,0.0,13074252.573000003,2025-08-14 18:54:14
季度,2024Q2,2024-03-31 23:00,2024-06-30 08:00,91,0.0,28604202.980199996,2025-08-14 18:55:15
季度,2024Q3,2024-06-30 23:00,2024-09-30 08:00,92,0.0,42429142.0441,2025-08-14 18:56:14
季度,2024Q4,2024-09-30 23:00,2024-12-31 08:00,92,0.0,17788522.522900004,2025-08-14 18:56:59
季度,2025Q1,2024-12-31 23:00,2025-03-31 08:00,90,0.0,14757597.547200002,2025-08-14 18:57:55
季度,2025Q2,2025-03-31 23:00,2025-06-30 08:00,91,0.0,21166341.8324,2025-08-14 18:58:59
季度,2025Q3,2025-06-30 23:00,2025-09-30 08:00,44,0.0,14834070.631999997,2025-08-14 18:59:30
半年,2024H1,2023-12-31 23:00,2024-06-30 08:00,182,0.0,41678455.55320001,2025-08-14 19:01:35
半年,2024H2,2024-06-30 23:00,2024-12-31 08:00,184,0.0,60217664.56700001,2025-08-14 19:03:27
半年,2025H1,2024-12-31 23:00,2025-06-30 08:00,181,0.0,35923939.379599996,2025-08-14 19:05:31
年,2024,2023-12-31 23:00,2024-12-31 08:00,366,0.0,101896120.12019992,2025-08-14 19:09:25
