z,profit,total_charge,total_discharge
0.0,175141.93819999992,3070.65,3070.65
0.5,175141.93819999992,3070.65,3070.65
1.0,175141.93819999992,3070.65,3070.65
1.5,175141.93819999992,3070.65,3070.65
2.0,175141.93819999992,3070.65,3070.65
2.5,175141.93819999992,3070.65,3070.65
3.0,175141.93819999992,3070.65,3070.65
3.5,175141.93819999992,3070.65,3070.65
4.0,175141.93819999992,3070.65,3070.65
4.5,175141.93819999992,3070.65,3070.65
5.0,175141.93819999992,3070.65,3070.65
5.5,175141.93819999992,3070.65,3070.65
6.0,175141.9381999999,3070.65,3070.65
6.5,175141.9382,3070.65,3070.65
7.0,175141.93819999995,3070.65,3070.65
7.5,175141.93820000006,3070.65,3070.65
8.0,175141.93819999998,3070.65,3070.65
8.5,175141.93820000003,3070.65,3070.65
9.0,175141.93819999995,3070.65,3070.65
9.5,175141.9382,3070.65,3070.65
10.0,175141.9382,3070.65,3070.65
10.5,175141.9382,3070.65,3070.65
11.0,175141.9381999999,3070.65,3070.65
11.5,175141.93819999992,3070.65,3070.65
12.0,175141.93819999992,3070.65,3070.65
12.5,175141.93819999992,3070.65,3070.65
13.0,175141.93819999992,3070.65,3070.65
13.5,175141.93819999992,3070.65,3070.65
14.0,175141.93819999995,3070.65,3070.65
14.5,175141.93819999992,3070.65,3070.65
15.0,175141.9381999999,3070.65,3070.65
15.5,175141.9381999999,3070.65,3070.65
16.0,175141.9381999999,3070.65,3070.65
16.5,175141.9381999999,3070.65,3070.65
17.0,175141.93819999992,3070.65,3070.65
17.5,175141.93819999995,3070.65,3070.65
18.0,175141.93819999992,3070.65,3070.65
18.5,175141.93819999992,3070.65,3070.65
19.0,175141.93819999992,3070.65,3070.65
19.5,175141.93819999992,3070.65,3070.65
20.0,175141.93819999992,3070.65,3070.65
20.5,175141.93819999998,3070.65,3070.65
21.0,175141.93819999998,3070.65,3070.65
21.5,175141.93819999998,3070.65,3070.65
22.0,175141.93819999998,3070.65,3070.65
22.5,175141.93820000003,3070.65,3070.65
23.0,175141.93819999998,3070.65,3070.65
23.5,175141.93820000003,3070.65,3070.65
24.0,175141.9382,3070.65,3070.65
24.5,175141.93820000003,3070.65,3070.65
25.0,175141.93819999998,3070.65,3070.65
25.5,175141.9382,3070.65,3070.65
26.0,175141.93819999998,3070.65,3070.65
26.5,175141.93820000003,3070.65,3070.65
27.0,175141.93819999995,3070.65,3070.65
27.5,175141.93819999992,3070.65,3070.65
28.0,175141.93819999998,3070.65,3070.65
28.5,175141.93819999995,3070.65,3070.65
29.0,175141.9381999999,3070.65,3070.65
29.5,175141.93819999995,3070.65,3070.65
30.0,175141.93819999995,3070.65,3070.65
30.5,175141.9382,3070.65,3070.65
31.0,175141.93820000003,3070.65,3070.65
31.5,175141.93819999995,3070.65,3070.65
32.0,175141.9382,3070.65,3070.65
32.5,175141.93820000003,3070.65,3070.65
33.0,175141.9382,3070.65,3070.65
33.5,175141.93819999998,3070.65,3070.65
34.0,175141.9382000001,3070.65,3070.65
34.5,175141.93819999998,3070.65,3070.65
35.0,175141.93819999998,3070.65,3070.65
35.5,175141.93819999998,3070.65,3070.65
36.0,175141.93819999995,3070.65,3070.65
36.5,175141.9382,3070.65,3070.65
37.0,175141.93820000006,3070.65,3070.65
37.5,175141.93820000003,3070.65,3070.65
38.0,175138.66760000002,3069.96,3069.96
38.5,174873.57109999997,3014.13,3014.13
39.0,174481.41739999995,2958.2999999999997,2958.3
39.5,173166.3257999999,2790.81,2790.81
40.0,173166.32579999993,2790.81,2790.81
40.5,172605.79260000002,2734.98,2734.98
41.0,172605.7926,2734.98,2734.98
41.5,172605.79259999996,2734.98,2734.98
42.0,172045.15589999998,2679.15,2679.15
42.5,170877.96280000007,2567.49,2567.49
43.0,170877.9628,2567.49,2567.49
43.5,170877.9628,2567.49,2567.49
44.0,170513.20060000004,2534.98,2534.98
44.5,170513.20060000004,2534.98,2534.98
45.0,170513.20060000004,2534.98,2534.98
45.5,169785.86000000002,2479.15,2479.15
46.0,167548.0892,2367.49,2367.49
46.5,167548.0892,2367.49,2367.49
47.0,167548.0892,2367.49,2367.49
47.5,167548.08919999996,2367.49,2367.49
48.0,167548.0892,2367.49,2367.49
48.5,167548.0892,2367.49,2367.49
49.0,165893.40859999994,2311.66,2311.66
49.5,164231.4091,2255.83,2255.83
50.0,162559.57159999997,2200.0,2200.0
